Date,Price
2-Mar,2200
3-Mar,2100
4-Mar,2200
5-Mar,2200
6-Mar,2200
7-Mar,2150
8-Mar,2200
9-Mar,2200
10-Mar,2250
11-Mar,2299
12-Mar,2299
13-Mar,2299
14-Mar,2299
15-Mar,2299
16-Mar,2299
17-Mar,2393
18-Mar,2390
19-Mar,2388
20-Mar,2375
21-Mar,2364
22-Mar,2359
23-Mar,2354
24-Mar,2315
25-Mar,2298
26-Mar,2246
27-Mar,2239
28-Mar,2234
29-Mar,2234
30-Mar,2229
31-Mar,2190
1-Apr,2228
2-Apr,2227
3-Apr,2227
4-Apr,2227
5-Apr,2227
6-Apr,2150
7-Apr,2227
8-Apr,2199
9-Apr,2198
10-Apr,2198
11-Apr,2198
12-Apr,2180
13-Apr,2180
14-Apr,2180
15-Apr,2180
16-Apr,2170
17-Apr,2170
18-Apr,2170
19-Apr,2189
20-Apr,2200
21-Apr,2200
22-Apr,2227
23-Apr,2227
24-Apr,2227
25-Apr,2199
26-Apr,2199
27-Apr,2099
28-Apr,2099
29-Apr,1999
30-Apr,1949
1-May,1949
2-May,1949
3-May,1899
4-May,1945
5-May,1945
6-May,1945
7-May,1945
8-May,1945
9-May,1945
10-May,1945
11-May,1945
12-May,1945
13-May,1994
14-May,1994
15-May,1994
,
,
,
,
,
,
,
,
